state,year,inc_per_cap_act
Kentucky,1980,27701.05957942108
Kentucky,1981,27498.61225169783
Kentucky,1982,26959.408176297402
Kentucky,1983,26908.307869034885
Kentucky,1984,28817.274872467602
Kentucky,1985,29029.411130929035
Kentucky,1986,28759.354603033004
Kentucky,1987,30006.005058917646
Kentucky,1988,31370.48509367338
Kentucky,1989,32298.480457055255
Kentucky,1990,36251.47739396892
Kentucky,1991,35892.48819726881
Kentucky,1992,37179.59647623286
Kentucky,1993,36914.648730555506
Kentucky,1994,37360.28846179672
Kentucky,1995,37649.35295049515
Kentucky,1996,38612.12739088344
Kentucky,1997,39419.0687101817
Kentucky,1998,40372.27160073268
Kentucky,1999,41180.406898457964
Kentucky,2000,38936.57343821071
Kentucky,2001,38606.88195508456
Kentucky,2002,38814.273641089545
Kentucky,2003,38595.10850685584
Kentucky,2004,39764.06177888377
Kentucky,2005,40234.01947511965
Kentucky,2006,40578.33706429036
Kentucky,2007,41154.1409895331
Kentucky,2008,40899.22886586022
Kentucky,2009,40204.908173104355
Kentucky,2010,40349.44711296233
Kentucky,2011,41449.734377857014
Kentucky,2012,41552.03764838547
Kentucky,2013,41054.85537573734
Kentucky,2014,42298.489315426355
Kentucky,2015,44216.69702995767
Kentucky,2016,44294.00055127826
Kentucky,2017,44459.07526628288
Kentucky,2018,45073.93618615354
Kentucky,2019,45911.37226559571
Louisiana,1980,30162.157062103233
Louisiana,1981,30544.451665324203
Louisiana,1982,29889.16951748256
Louisiana,1983,29797.5644383897
Louisiana,1984,30354.708445344226
Louisiana,1985,30477.699694351715
Louisiana,1986,29356.725824635432
Louisiana,1987,29509.70884361992
Louisiana,1988,30274.52963676965
Louisiana,1989,30990.077012688616
Louisiana,1990,35351.982853613714
Louisiana,1991,34990.13601466389
Louisiana,1992,36032.127974697156
Louisiana,1993,36303.83520038194
Louisiana,1994,37177.341977484306
Louisiana,1995,37630.354076387586
Louisiana,1996,37953.01907701647
Louisiana,1997,38425.444687821444
Louisiana,1998,39250.70602399421
Louisiana,1999,39274.040452924026
Louisiana,2000,37473.061084153094
Louisiana,2001,38691.68344172486
Louisiana,2002,39270.324001141744
Louisiana,2003,39255.27173821672
Louisiana,2004,39985.324537968954
Louisiana,2005,41764.662817582954
Louisiana,2006,45007.5504655183
Louisiana,2007,46808.092953606036
Louisiana,2008,47119.08252223937
Louisiana,2009,45545.60796540642
Louisiana,2010,45838.19826818197
Louisiana,2011,46336.960767105775
Louisiana,2012,47131.354289717165
Louisiana,2013,46759.196887646634
Louisiana,2014,48038.709252565524
Louisiana,2015,48390.356667125154
Louisiana,2016,47384.95541236437
Louisiana,2017,47750.36215477419
Louisiana,2018,49192.46081033746
Louisiana,2019,49781.76389284293
Maine,1980,29138.978591307598
Maine,1981,28547.380830534665
Maine,1982,28578.580073248202
Maine,1983,29469.71175563644
Maine,1984,30940.222970940176
Maine,1985,32082.494568315873
Maine,1986,33199.32663162615
Maine,1987,35097.27164838383
Maine,1988,36553.515401171986
Maine,1989,37628.66535631897
Maine,1990,38764.04353975052
Maine,1991,36845.26921363016
Maine,1992,37261.663725506805
Maine,1993,37161.248959291006
Maine,1994,38068.99823501252
Maine,1995,38593.349252282926
Maine,1996,39474.794729853624
Maine,1997,40219.9895579212
Maine,1998,42201.72539749039
Maine,1999,43338.5410968923
Maine,2000,43137.364967186884
Maine,2001,43587.57947737541
Maine,2002,44238.13736314954
Maine,2003,44834.93024231406
Maine,2004,46036.292753463094
Maine,2005,45779.849462461236
Maine,2006,46157.84381344617
Maine,2007,46791.848342605175
Maine,2008,46622.38712044714
Maine,2009,46693.271014521095
Maine,2010,46155.71672504956
Maine,2011,47248.67523332221
Maine,2012,46820.50305015839
Maine,2013,45911.715627460646
Maine,2014,47070.88655509271
Maine,2015,49205.57475000056
Maine,2016,49951.85924052474
Maine,2017,50611.649699257476
Maine,2018,51944.81520683465
Maine,2019,53111.17866077026
Maryland,1980,39046.48412627474
Maryland,1981,38505.796132659576
Maryland,1982,38385.96093078525
Maryland,1983,39371.696181501175
Maryland,1984,41389.048529355794
Maryland,1985,42860.06773961552
Maryland,1986,43787.578912627156
Maryland,1987,45818.9216701071
Maryland,1988,47409.08939873139
Maryland,1989,50477.61253458954
Maryland,1990,71528.59763189759
Maryland,1991,69334.69476558916
Maryland,1992,69710.23149666133
Maryland,1993,69419.97603150526
Maryland,1994,68879.15117152927
Maryland,1995,68599.50521544162
Maryland,1996,68496.14670692205
Maryland,1997,69133.83868134422
Maryland,1998,72499.3423666389
Maryland,1999,74728.64741357705
Maryland,2000,55812.200195520374
Maryland,2001,56026.54157911412
Maryland,2002,56882.429576862465
Maryland,2003,57310.32989593128
Maryland,2004,59546.09928971796
Maryland,2005,60695.36378856062
Maryland,2006,61190.26768537213
Maryland,2007,62147.98344308449
Maryland,2008,61973.28847488818
Maryland,2009,61245.569092264006
Maryland,2010,60883.23671709183
Maryland,2011,62770.20030274623
Maryland,2012,62231.182310724726
Maryland,2013,60640.59761600403
Maryland,2014,61554.36971284676
Maryland,2015,64335.722705658365
Maryland,2016,65750.05782851244
Maryland,2017,66038.35750794511
Maryland,2018,66759.82521707403
Maryland,2019,67802.81110254036
Massachusetts,1980,36325.620115512764
Massachusetts,1981,43615.621047456065
Massachusetts,1982,45095.839856013234
Massachusetts,1983,46875.8786188237
Massachusetts,1984,50289.81833298743
Massachusetts,1985,52055.511751450766
Massachusetts,1986,53752.82905888738
Massachusetts,1987,57046.460040319194
Massachusetts,1988,59744.59322613581
Massachusetts,1989,60095.637312190935
Massachusetts,1990,102807.13440309692
Massachusetts,1991,97208.99548034104
Massachusetts,1992,98752.34565597093
Massachusetts,1993,98345.8373863084
Massachusetts,1994,101382.24309728206
Massachusetts,1995,103785.78217547659
Massachusetts,1996,103833.87255500532
Massachusetts,1997,106923.41630164345
Massachusetts,1998,112401.77123694151
Massachusetts,1999,114036.74685296223
Massachusetts,2000,60283.89122459967
Massachusetts,2001,59991.794655440506
Massachusetts,2002,58857.18287235126
Massachusetts,2003,58435.08713448474
Massachusetts,2004,60248.416971959276
Massachusetts,2005,61174.46012416637
Massachusetts,2006,63184.285694543156
Massachusetts,2007,64708.8611965727
Massachusetts,2008,64051.920481863854
Massachusetts,2009,62914.56575154793
Massachusetts,2010,64603.66779673763
Massachusetts,2011,66204.22872718604
Massachusetts,2012,66631.04090306362
Massachusetts,2013,65578.27776708672
Massachusetts,2014,67482.39009385587
Massachusetts,2015,71761.03181622644
Massachusetts,2016,73230.92525962205
Massachusetts,2017,74390.7768615735
Massachusetts,2018,76440.25381397335
Massachusetts,2019,77816.9203610026
Michigan,1980,34704.18859098468
Michigan,1981,39372.5865167189
Michigan,1982,37145.27076833274
Michigan,1983,38951.36432585561
Michigan,1984,41223.060248930116
Michigan,1985,43038.96110652991
Michigan,1986,43722.307777527145
Michigan,1987,45039.72762301029
Michigan,1988,46589.4114385565
