date,state,unemployment
1976-11-01,Missouri,6.5
1976-11-01,Montana,6
1976-11-01,Nebraska,3.1
1976-11-01,Nevada,8.7
1976-11-01,New Hampshire,6.3
1976-11-01,New Jersey,10.5
1976-11-01,New Mexico,9
1976-11-01,New York,10.2
1976-11-01,North Carolina,6.3
1976-11-01,North Dakota,4.1
1976-11-01,Ohio,7.5
1976-11-01,Oklahoma,5.3
1976-11-01,Oregon,9.4
1976-11-01,Pennsylvania,8
1976-11-01,Rhode Island,8.6
1976-11-01,South Carolina,6.9
1976-11-01,South Dakota,3.6
1976-11-01,Tennessee,6.4
1976-11-01,Texas,5.7
1976-11-01,Utah,5.5
1976-11-01,Vermont,7.7
1976-11-01,Virginia,5.7
1976-11-01,Washington,9.3
1976-11-01,West Virginia,6.9
1976-11-01,Wisconsin,5.4
1976-11-01,Wyoming,3.7
1976-12-01,Alabama,7.2
1976-12-01,Alaska,8.9
1976-12-01,Arizona,9.3
1976-12-01,Arkansas,6.6
1976-12-01,California,9.3
1976-12-01,Colorado,6.5
1976-12-01,Connecticut,8.3
1976-12-01,District of Columbia,8.9
1976-12-01,Delaware,9.2
1976-12-01,Florida,9.1
1976-12-01,Georgia,8.1
1976-12-01,Hawaii,8.6
1976-12-01,Idaho,5.9
1976-12-01,Illinois,6.3
1976-12-01,Indiana,5.9
1976-12-01,Iowa,4
1976-12-01,Kansas,4.2
1976-12-01,Kentucky,5.1
1976-12-01,Louisiana,6.9
1976-12-01,Maine,9.1
1976-12-01,Maryland,6.7
1976-12-01,Massachusetts,8.9
1976-12-01,Michigan,9
1976-12-01,Minnesota,5.9
1976-12-01,Mississippi,6.8
1976-12-01,Missouri,6.5
1976-12-01,Montana,6
1976-12-01,Nebraska,3.1
1976-12-01,Nevada,8.6
1976-12-01,New Hampshire,6.4
1976-12-01,New Jersey,10.6
1976-12-01,New Mexico,9
1976-12-01,New York,10.2
1976-12-01,North Carolina,6.4
1976-12-01,North Dakota,4.2
1976-12-01,Ohio,7.5
1976-12-01,Oklahoma,5.3
1976-12-01,Oregon,9.3
1976-12-01,Pennsylvania,8.1
1976-12-01,Rhode Island,8.7
1976-12-01,South Carolina,7
1976-12-01,South Dakota,3.7
1976-12-01,Tennessee,6.5
1976-12-01,Texas,5.8
1976-12-01,Utah,5.5
1976-12-01,Vermont,7.7
1976-12-01,Virginia,5.6
1976-12-01,Washington,9.4
1976-12-01,West Virginia,7
1976-12-01,Wisconsin,5.5
1976-12-01,Wyoming,3.8
1977-01-01,Alabama,7.3
1977-01-01,Alaska,9.1
1977-01-01,Arizona,9.3
1977-01-01,Arkansas,6.6
1977-01-01,California,9.2
1977-01-01,Colorado,6.6
1977-01-01,Connecticut,8.2
1977-01-01,District of Columbia,8.9
1977-01-01,Delaware,9.2
1977-01-01,Florida,9
1977-01-01,Georgia,8.1
1977-01-01,Hawaii,8.5
1977-01-01,Idaho,5.9
1977-01-01,Illinois,6.2
1977-01-01,Indiana,5.8
1977-01-01,Iowa,4
1977-01-01,Kansas,4.2
1977-01-01,Kentucky,5.1
1977-01-01,Louisiana,6.9
1977-01-01,Maine,9.1
1977-01-01,Maryland,6.7
1977-01-01,Massachusetts,8.8
1977-01-01,Michigan,8.9
1977-01-01,Minnesota,5.9
1977-01-01,Mississippi,6.9
1977-01-01,Missouri,6.4
1977-01-01,Montana,6
1977-01-01,Nebraska,3.1
